trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.7, 'e': 0.9955664599249897}",30,0,-265.96206483245567,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 5}",0
61,False,"{'a': 0.7, 'e': 0.9954175576293536}",35,0,-157.44959297687592,"{0: 22, 1: 4, 2: 5, 3: 2, 4: 2}",0
62,False,"{'a': 0.7, 'e': 0.9952662017294838}",25,0,-130.85417257005454,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
63,False,"{'a': 0.7, 'e': 0.9951123925984571}",30,0,-199.74478900812227,"{0: 15, 1: 6, 2: 6, 3: 0, 4: 3}",0
64,False,"{'a': 0.7, 'e': 0.9949561306153978}",25,0,-155.0537772664558,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
65,False,"{'a': 0.7, 'e': 0.9947974161654759}",25,0,-86.80773463734508,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
66,False,"{'a': 0.7, 'e': 0.9946362496399065}",20,0,-177.84899921095825,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
67,False,"{'a': 0.7, 'e': 0.9944726314359491}",25,0,-112.74399543630815,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
68,False,"{'a': 0.7, 'e': 0.9943065619569059}",20,0,-114.13744108022644,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
69,False,"{'a': 0.7, 'e': 0.9941380416121215}",25,0,-124.20218070025854,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
70,False,"{'a': 0.7, 'e': 0.9939670708169818}",20,0,-86.75301307353897,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
71,False,"{'a': 0.7, 'e': 0.9937936499929124}",25,0,-144.1682533972689,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
72,False,"{'a': 0.7, 'e': 0.9936177795673784}",25,0,-113.76853463648261,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
73,False,"{'a': 0.7, 'e': 0.9934394599738825}",30,0,-241.8155355482405,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 5}",0
74,False,"{'a': 0.7, 'e': 0.9932586916519648}",30,0,-123.82729468644573,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
75,False,"{'a': 0.7, 'e': 0.993075475047201}",20,0,-186.13661815533126,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
76,False,"{'a': 0.7, 'e': 0.9928898106112014}",25,0,-202.87414453140266,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
77,False,"{'a': 0.7, 'e': 0.9927016988016104}",25,0,-197.50725728647106,"{0: 12, 1: 1, 2: 7, 3: 3, 4: 2}",0
78,False,"{'a': 0.7, 'e': 0.9925111400821046}",20,0,-181.38938036659394,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
79,False,"{'a': 0.7, 'e': 0.9923181349223922}",20,0,-105.86177694568849,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
80,False,"{'a': 0.7, 'e': 0.9921226837982114}",30,11,-19.41689903954107,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.9919247871913297}",20,0,-53.927771495603,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
82,False,"{'a': 0.7, 'e': 0.9917244455895422}",20,0,-174.4347878177947,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
83,False,"{'a': 0.7, 'e': 0.9915216594866709}",20,0,-43.246007357740986,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.7, 'e': 0.9913164293825633}",35,10,-90.09194689080154,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",1
85,False,"{'a': 0.7, 'e': 0.9911087557830907}",20,9,-55.001287774775676,"{0: 4, 1: 2, 2: 5, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.9908986392001478}",25,0,-186.93521398593433,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
87,False,"{'a': 0.7, 'e': 0.9906860801516507}",25,0,-149.78770557706852,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
88,False,"{'a': 0.7, 'e': 0.9904710791615364}",25,12,-123.94151742320943,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 2}",1
89,False,"{'a': 0.7, 'e': 0.9902536367597605}",35,0,-133.14651677162607,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
90,False,"{'a': 0.7, 'e': 0.9900337534822967}",20,0,-214.0287832221758,"{0: 9, 1: 2, 2: 3, 3: 3, 4: 3}",0
91,False,"{'a': 0.7, 'e': 0.9898114298711352}",25,0,-89.86382480034068,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
92,False,"{'a': 0.7, 'e': 0.9895866664742815}",30,0,-255.071339060463,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 5}",0
93,False,"{'a': 0.7, 'e': 0.9893594638457546}",20,0,-51.526133732790385,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.7, 'e': 0.9891298225455861}",30,9,-83.66384798429188,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
